bg_geoid,lat,lng,population,acs_vintage,jobs,lodes_vintage
170310605001,41.9527200,-87.6605008,1329,ACS 2020-2024 5-year,326,LODES8 2023
170310608001,41.9529983,-87.6487976,1680,ACS 2020-2024 5-year,545,LODES8 2023
170310608002,41.9539590,-87.6426489,0,ACS 2020-2024 5-year,17,LODES8 2023
170310608003,41.9537758,-87.6458553,1957,ACS 2020-2024 5-year,65,LODES8 2023
170310608004,41.9530301,-87.6469080,1776,ACS 2020-2024 5-year,57,LODES8 2023
170310609001,41.9494740,-87.6475870,1186,ACS 2020-2024 5-year,436,LODES8 2023
170310609002,41.9495929,-87.6390097,0,ACS 2020-2024 5-year,57,LODES8 2023
170310609003,41.9510742,-87.6461013,1426,ACS 2020-2024 5-year,75,LODES8 2023
170310609004,41.9490243,-87.6472516,592,ACS 2020-2024 5-year,52,LODES8 2023
170310609005,41.9473592,-87.6439549,1659,ACS 2020-2024 5-year,53,LODES8 2023
170310609006,41.9491930,-87.6450558,2420,ACS 2020-2024 5-year,135,LODES8 2023
170310610001,41.9492206,-87.6519703,2284,ACS 2020-2024 5-year,439,LODES8 2023
170310611001,41.9491398,-87.6568035,1368,ACS 2020-2024 5-year,1963,LODES8 2023
170310612001,41.9490599,-87.6616427,1954,ACS 2020-2024 5-year,260,LODES8 2023
170310615001,41.9452818,-87.6615447,1811,ACS 2020-2024 5-year,807,LODES8 2023
170310618001,41.9464901,-87.6471147,1152,ACS 2020-2024 5-year,306,LODES8 2023
170310619011,41.9454544,-87.6442217,725,ACS 2020-2024 5-year,75,LODES8 2023
170310619012,41.9441060,-87.6434219,959,ACS 2020-2024 5-year,120,LODES8 2023
170310619013,41.9425507,-87.6431791,768,ACS 2020-2024 5-year,125,LODES8 2023
170310619014,41.9408153,-87.6431600,1257,ACS 2020-2024 5-year,140,LODES8 2023
170310619021,41.9406712,-87.6406057,1290,ACS 2020-2024 5-year,65,LODES8 2023
170310619022,41.9421084,-87.6410391,1652,ACS 2020-2024 5-year,123,LODES8 2023
170310619023,41.9466985,-87.6390645,1639,ACS 2020-2024 5-year,61,LODES8 2023
170310619024,41.9414461,-87.6392950,0,ACS 2020-2024 5-year,22,LODES8 2023
170310620001,41.9418117,-87.6469191,2036,ACS 2020-2024 5-year,347,LODES8 2023
170310620002,41.9445108,-87.6474817,985,ACS 2020-2024 5-year,163,LODES8 2023
170310621001,41.9434801,-87.6515491,757,ACS 2020-2024 5-year,176,LODES8 2023
170310621002,41.9447849,-87.6518126,1231,ACS 2020-2024 5-year,172,LODES8 2023
170310621003,41.9414164,-87.6518521,1853,ACS 2020-2024 5-year,868,LODES8 2023
170310622001,41.9425762,-87.6554288,1212,ACS 2020-2024 5-year,292,LODES8 2023
170310622002,41.9425929,-87.6578318,1907,ACS 2020-2024 5-year,91,LODES8 2023
170310623001,41.9416278,-87.6614432,1596,ACS 2020-2024 5-year,324,LODES8 2023
170310624001,41.9415556,-87.6662882,1803,ACS 2020-2024 5-year,682,LODES8 2023
170310625001,41.9414880,-87.6711073,1435,ACS 2020-2024 5-year,1030,LODES8 2023
170310626001,41.9359751,-87.6709843,2317,ACS 2020-2024 5-year,908,LODES8 2023
170310627001,41.9374666,-87.6649505,834,ACS 2020-2024 5-year,454,LODES8 2023
170310627002,41.9336285,-87.6657802,940,ACS 2020-2024 5-year,145,LODES8 2023
170310627003,41.9369799,-87.6673546,1378,ACS 2020-2024 5-year,407,LODES8 2023
170310628001,41.9375020,-87.6600668,944,ACS 2020-2024 5-year,116,LODES8 2023
170310628002,41.9337006,-87.6609361,1329,ACS 2020-2024 5-year,378,LODES8 2023
170310628003,41.9370896,-87.6624820,1652,ACS 2020-2024 5-year,272,LODES8 2023
170310629001,41.9376140,-87.6552435,1119,ACS 2020-2024 5-year,250,LODES8 2023
170310629002,41.9337799,-87.6560849,1368,ACS 2020-2024 5-year,146,LODES8 2023
170310629003,41.9371266,-87.6576572,1745,ACS 2020-2024 5-year,533,LODES8 2023
170310630001,41.9381322,-87.6516277,1121,ACS 2020-2024 5-year,3352,LODES8 2023
170310630002,41.9338819,-87.6514757,1401,ACS 2020-2024 5-year,756,LODES8 2023
170310630003,41.9356793,-87.6515353,540,ACS 2020-2024 5-year,36,LODES8 2023
170310631001,41.9375577,-87.6466613,1473,ACS 2020-2024 5-year,957,LODES8 2023
170310631002,41.9393105,-87.6469697,863,ACS 2020-2024 5-year,290,LODES8 2023
170310632001,41.9373638,-87.6404934,793,ACS 2020-2024 5-year,44,LODES8 2023
170310632002,41.9371540,-87.6382445,640,ACS 2020-2024 5-year,37,LODES8 2023
170310632003,41.9396451,-87.6420491,751,ACS 2020-2024 5-year,82,LODES8 2023
170310632004,41.9389231,-87.6346726,1909,ACS 2020-2024 5-year,201,LODES8 2023
170310632005,41.9389822,-87.6417798,782,ACS 2020-2024 5-year,40,LODES8 2023
170310632006,41.9377757,-87.6425766,1931,ACS 2020-2024 5-year,320,LODES8 2023
170310633011,41.9341941,-87.6427722,1010,ACS 2020-2024 5-year,42,LODES8 2023
170310633012,41.9357270,-87.6430488,935,ACS 2020-2024 5-year,70,LODES8 2023
170310633013,41.9333318,-87.6432846,953,ACS 2020-2024 5-year,224,LODES8 2023
170310633021,41.9346840,-87.6386923,1797,ACS 2020-2024 5-year,527,LODES8 2023
170310633022,41.9348936,-87.6404472,698,ACS 2020-2024 5-year,17,LODES8 2023
170310633023,41.9336149,-87.6403557,549,ACS 2020-2024 5-year,120,LODES8 2023
170310633024,41.9359513,-87.6407536,1314,ACS 2020-2024 5-year,63,LODES8 2023
170310633031,41.9350807,-87.6351518,443,ACS 2020-2024 5-year,687,LODES8 2023
170310633032,41.9332411,-87.6314673,872,ACS 2020-2024 5-year,12,LODES8 2023
170310634001,41.9340483,-87.6469653,1356,ACS 2020-2024 5-year,537,LODES8 2023
170310634002,41.9357761,-87.6463004,888,ACS 2020-2024 5-year,172,LODES8 2023
170310701011,41.9301104,-87.6402397,1490,ACS 2020-2024 5-year,49,LODES8 2023
170310701012,41.9270736,-87.6401683,934,ACS 2020-2024 5-year,230,LODES8 2023
170310701013,41.9302664,-87.6320329,1579,ACS 2020-2024 5-year,319,LODES8 2023
170310701021,41.9295544,-87.6417403,1477,ACS 2020-2024 5-year,268,LODES8 2023
170310701022,41.9321160,-87.6429014,586,ACS 2020-2024 5-year,528,LODES8 2023
