license_id,name,category,lat,lng
2971513,Cadinho Bakery & Cafe,restaurant_cafe,41.83043,-87.67738
2971582,LA TIENDITA PRODUCTS LLC,grocery,41.90933,-87.76043
2971611,YUN PING SPA,personal_services,41.85239,-87.63607
2971623,Outset,restaurant_cafe,41.91260,-87.66339
2971624,Outset,retail_general,41.91260,-87.66339
2971625,Outset,liquor_tavern,41.91260,-87.66339
2971626,Outset,liquor_tavern,41.91260,-87.66339
2971637,KINZIE SHINE SPA,personal_services,41.88894,-87.64244
2971641,TACO BELL CANTINA,restaurant_cafe,41.96279,-87.65564
2971644,HANDS ON THAI & SUSHI,restaurant_cafe,41.95344,-87.75455
2971665,CHELIS BOBA CAFE,restaurant_cafe,41.92410,-87.76562
2971715,NW BARBER SHOP,personal_services,41.98248,-87.77378
2971768,THE PERFECT JERK,liquor_tavern,41.90908,-87.79934
2971777,SEAFOOD JUNCTION,grocery,41.73673,-87.59114
2971799,NADC Burger / Sushi by Scratch Restaurants: Chicago,liquor_tavern,41.88949,-87.64474
2971814,SOL Y VIDA,restaurant_cafe,41.93835,-87.66661
2971815,SOL Y VIDA,liquor_tavern,41.93835,-87.66661
2971822,CARRUSEL,retail_general,41.84443,-87.70324
2971840,FIRE BOWL HIBACHI,restaurant_cafe,41.90337,-87.63431
2971906,LALO'S BARBERSHOP,personal_services,41.84646,-87.70420
2971908,The Pink Polo,liquor_tavern,41.89828,-87.63636
2971935,KFC,restaurant_cafe,41.70312,-87.52512
2971977,Electric Shuffle,restaurant_cafe,41.89069,-87.63270
2971978,Electric Shuffle,other,41.89069,-87.63270
2971979,Electric Shuffle,liquor_tavern,41.89069,-87.63270
2971984,Limelight,liquor_tavern,41.84924,-87.62386
2971985,Limelight,other,41.84924,-87.62386
2972039,"ADLER SCHOOLS, INC.",other,41.96882,-87.68251
2972043,LINDSAY ITALIAN ICE,other,41.85591,-87.70401
2972068,Diversey Beer Wine & Spirits,liquor_tavern,41.93276,-87.65294
2972078,4 HENS CREOLE KITCHEN,other,41.90645,-87.67290
2972091,QUALITY AIR SERVICE,other,41.73900,-87.60474
2972117,GRANNY DUTCH POT,other,41.86394,-87.67491
2972161,MiMi's Tacos And French Fries,liquor_tavern,41.86945,-87.66134
2972162,MiMi's Tacos And French Fries,liquor_tavern,41.86945,-87.66134
2972188,Little Latke,other,41.89034,-87.65359
2972189,KIDZ LEAGUE,other,41.77944,-87.70300
2972192,Taurus Express,restaurant_cafe,41.77387,-87.68364
2972225,SWEET TOTTS,gym_fitness,41.80920,-87.62113
2972227,701 Sports Bar & Grill,restaurant_cafe,41.95302,-87.77097
2972228,701 Sports Bar & Grill,liquor_tavern,41.95302,-87.77097
2972229,NAILS SPA BY ELA,personal_services,41.92410,-87.76562
2972239,IL GIRASOLE TRATTORIA,liquor_tavern,41.93044,-87.68799
2972241,GIGI'S VEGAN KITCHEN LLC,restaurant_cafe,41.89236,-87.66215
2972300,MIRRA,restaurant_cafe,41.91787,-87.67740
2972301,MIRRA,liquor_tavern,41.91787,-87.67740
2972307,"LEGACY PARKING COMPANY, LLC",other,41.89832,-87.62099
2972308,"HAROLDS ON WHEELS, INC.",other,41.85045,-87.65880
2972314,"OLAEZ HAIR SALON, LLC",personal_services,41.80130,-87.72670
