ein,funder,object_id,tax_yr,return_type,schema_version,tax_period_begin,tax_period_end,amended,grant_rows,parsed_sum,line3a,line25a,line25d,delta,status,bridge_note,chicago_rows,chicago_dollars,source_url,sha256,extraction_version
476858270,Sue Ling Gin Foundation TR,202523169349102552,2024,990PF,2024v5.2,2024-07-01,2025-06-30,N,24,34356336.0,34356336.0,,34356336.0,0.0,reconciled,row sum ties printed line-3a total within $1,19,33865836.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523169349102552_public.xml,7d64589ea451077e,phase2-2026-08-03.1
510138577,Ira DeCamp Foundation Under the Will of Elizabeth DeCamp McInerny,202330659349101103,2021,990PF,2021v4.1,2021-11-01,2022-10-31,N,59,4978250.0,4978250.0,,4978250.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202330659349101103_public.xml,c958348788b022ee,phase2-2026-08-03.1
510138577,Ira DeCamp Foundation Under the Will of Elizabeth DeCamp McInerny,202412219349101106,2022,990PF,2022v5.0,2022-11-01,2023-10-31,N,63,4952852.0,4952852.0,,4952852.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202412219349101106_public.xml,fbc429adbd25beef,phase2-2026-08-03.1
510138577,Ira DeCamp Foundation Under the Will of Elizabeth DeCamp McInerny,202541929349100709,2023,990PF,2023v6.0,2023-11-01,2024-10-31,N,59,4284150.0,4284150.0,,4284150.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202541929349100709_public.xml,6cd865ea3215f9ae,phase2-2026-08-03.1
510138577,Ira DeCamp Foundation Under the Will of Elizabeth DeCamp McInerny,202600659349100210,2024,990PF,2024v5.2,2024-11-01,2025-10-31,N,62,4800000.0,4800000.0,,4800000.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202600659349100210_public.xml,02ed635f8fb6110b,phase2-2026-08-03.1
521829785,William G McGowan Charitable Fund,202341189349100534,2021,990PF,2021v4.2,2021-07-01,2022-06-30,N,200,7675745.0,7675745.0,,7675745.0,0.0,reconciled,row sum ties printed line-3a total within $1,22,2022600.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202341189349100534_public.xml,1a4f2f0048e32111,phase2-2026-08-03.1
521829785,William G McGowan Charitable Fund,202323499349100607,2022,990PF,2022v5.0,2022-07-01,2023-06-30,N,189,8229990.0,8229990.0,,8229990.0,0.0,reconciled,row sum ties printed line-3a total within $1,17,2235000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202323499349100607_public.xml,52c29e1a8ae3af38,phase2-2026-08-03.1
521829785,William G McGowan Charitable Fund,202500239349100915,2023,990PF,2023v6.0,2023-07-01,2024-06-30,N,259,7105582.0,7105582.0,,7105582.0,0.0,reconciled,row sum ties printed line-3a total within $1,19,1436771.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202500239349100915_public.xml,1675d16fcc421fe3,phase2-2026-08-03.1
527018780,Joanne W Gauntt Charitable Foundation,202231229349100733,2021,990PF,2021v4.1,2021-01-01,2021-12-31,N,11,3268000.0,3268000.0,,3268000.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202231229349100733_public.xml,f00697e5fc91462f,phase2-2026-08-03.1
527018780,Joanne W Gauntt Charitable Foundation,202311259349101696,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,14,3784500.0,3784500.0,,3784500.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202311259349101696_public.xml,b93c0d5e0887e5bf,phase2-2026-08-03.1
527018780,Joanne W Gauntt Charitable Foundation,202431229349102588,2023,990PF,2023v5.0,2023-01-01,2023-12-31,N,13,3340500.0,3340500.0,,3340500.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202431229349102588_public.xml,a705573f3d7b244c,phase2-2026-08-03.1
527018780,Joanne W Gauntt Charitable Foundation,202501269349102845,2024,990PF,2024v5.1,2024-01-01,2024-12-31,N,17,3140000.0,3140000.0,,3140000.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202501269349102845_public.xml,c69555421699a714,phase2-2026-08-03.1
527240158,Nancy A Lauter and Alfred L McDougal Charitable Fund,202203079349100615,2021,990PF,2021v4.1,2021-01-01,2021-12-31,N,11,3000000.0,3000000.0,,3000000.0,0.0,reconciled,row sum ties printed line-3a total within $1,8,2490000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202203079349100615_public.xml,ca92089a591fb243,phase2-2026-08-03.1
527240158,Nancy A Lauter and Alfred L McDougal Charitable Fund,202323179349103057,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,11,3000000.0,3000000.0,,3000000.0,0.0,reconciled,row sum ties printed line-3a total within $1,8,2490000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202323179349103057_public.xml,75e884c2e9ee23bb,phase2-2026-08-03.1
527240158,Nancy A Lauter and Alfred L McDougal Charitable Fund,202433129349100608,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,11,11657155.0,11657155.0,,11657155.0,0.0,reconciled,row sum ties printed line-3a total within $1,8,9675438.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202433129349100608_public.xml,42d83db468aec9c4,phase2-2026-08-03.1
527240158,Nancy A Lauter and Alfred L McDougal Charitable Fund,202533099349101803,2024,990PF,2024v5.2,2024-01-01,2024-12-31,N,11,200000.0,200000.0,,200000.0,0.0,reconciled,row sum ties printed line-3a total within $1,8,166000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202533099349101803_public.xml,0da5c39fbb8491bd,phase2-2026-08-03.1
596964359,James M Schoonmaker II Foundation,202221229349101362,2021,990PF,2021v4.1,2021-01-01,2021-12-31,N,21,625000.0,625000.0,,625000.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202221229349101362_public.xml,1b9c6284cae4ff4c,phase2-2026-08-03.1
596964359,James M Schoonmaker II Foundation,202301259349100045,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,13,1200000.0,1200000.0,,1200000.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202301259349100045_public.xml,ae770bb56387e4ca,phase2-2026-08-03.1
