project_id_or_row,cde_name,project_qlici_amount,estimated_total_project_cost,year,purpose_text,city,state,zip_or_tract,zip_or_tract_type,lat,lng,coord_status,census_tract_2020,tract_centroid_lat,tract_centroid_lng,community_area_source
IL0254,"Chicago Community Loan Fund, The",11730000,12318260,2016,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60637,zip,,,missing_no_street_address_in_source,17031420400,41.7831699,-87.6035584,2020_tract_centroid_pip
IL0255,"Community Hospitality Healthcare Services, LLC",4850000,4850000,2016,Business Financing,Chicago,Illinois,60623,zip,,,missing_no_street_address_in_source,17031840700,41.8529302,-87.6942666,2020_tract_centroid_pip
IL0256,IFF,1980000,2000000,2016,Other Financing Purpose,Chicago,Illinois,60624,zip,,,missing_no_street_address_in_source,17031231500,41.8917357,-87.7186525,2020_tract_centroid_pip
IL0257,"Chicago Community Loan Fund, The",4800000,4800000,2016,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60622,zip,,,missing_no_street_address_in_source,17031241100,41.9066403,-87.6895801,2020_tract_centroid_pip
IL0263,"Banc of America CDE, LLC",6000000,10602025,2017,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial; Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60641,zip,,,missing_no_street_address_in_source,17031151002,41.9424917,-87.7471554,2020_tract_centroid_pip
IL0264,"Chicago Neighborhood Initiatives, Inc.",26700000,28669601,2017,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60632,zip,,,missing_no_street_address_in_source,17031842800,41.8075339,-87.6983044,2020_tract_centroid_pip
IL0265,"Chicago Neighborhood Initiatives, Inc.",23660000,28454961,2017,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60628,zip,,,missing_no_street_address_in_source,17031500200,41.7008552,-87.6003086,2020_tract_centroid_pip
IL0268,"Southside Community Optimal Redevelopment Enterprise, LLC",25976000,34334840,2017,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial; Business Financing,Chicago,Illinois,60637,zip,,,missing_no_street_address_in_source,17031836200,41.7904693,-87.6012849,2020_tract_centroid_pip
IL0270,"Midwest Industrial Redevelopment Fund, LLC",4137000,5066000,2017,Business Financing,Chicago,Illinois,60623,zip,,,missing_no_street_address_in_source,17031292500,41.8551613,-87.7322428,2020_tract_centroid_pip
IL0272,Northern CDE Corporation,3811500,4484566,2017,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60621,zip,,,missing_no_street_address_in_source,17031834700,41.7906903,-87.6450334,2020_tract_centroid_pip
IL0274,Chicago Development Fund,13380000,14240735,2017,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60623,zip,,,missing_no_street_address_in_source,17031844700,41.8541473,-87.7117002,2020_tract_centroid_pip
IL0286,"PNC Community Partners, Inc.",18750000,19592255,2017,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60647,zip,,,missing_no_street_address_in_source,17031230800,41.9058396,-87.714953,2020_tract_centroid_pip
IL0287,"Capital One Community Renewal Fund, LLC",12890000,13437957,2017,Other Financing Purpose; Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60642,zip,,,missing_no_street_address_in_source,17031242000,41.8997371,-87.6649536,2020_tract_centroid_pip
IL0289,IFF,2000000,2010000,2017,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60653,zip,,,missing_no_street_address_in_source,17031390300,41.8132006,-87.6042089,2020_tract_centroid_pip
IL0290,IFF,1000000,1931127,2017,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60628,zip,,,missing_no_street_address_in_source,17031540102,41.66733,-87.6054488,2020_tract_centroid_pip
IL0291,National Community Investment Fund,4365000,4825000,2017,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60628,zip,,,missing_no_street_address_in_source,17031500200,41.7008552,-87.6003086,2020_tract_centroid_pip
IL0299,"National New Markets Tax Credit Fund, Inc.",29560000,30600655,2018,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60612,zip,,,missing_no_street_address_in_source,17031837100,41.8856736,-87.6987204,2020_tract_centroid_pip
IL0300,"Raza Development Fund, Inc.",17800000,18180634,2018,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60632,zip,,,missing_no_street_address_in_source,17031842800,41.8075339,-87.6983044,2020_tract_centroid_pip
IL0301,Local Initiatives Support Corporation,24020000,25303845,2019,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial; Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60639,zip,,,missing_no_street_address_in_source,17031191302,41.9202289,-87.7705334,2020_tract_centroid_pip
IL0302,"Midwest Industrial Redevelopment Fund, LLC",750000,1000000,2018,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60617,zip,,,missing_no_street_address_in_source,17031450300,41.7419438,-87.5790892,2020_tract_centroid_pip
