foundation,tax_year,recipient,address_line1,city,state,zip,amount,purpose,source_form,lat,lng,locType
Arie and Ida Crown Memorial,2022,SURGE INSTITUTE,2045 WEST GRAND AVENUE STE B,CHICAGO,IL,60612,150000,GENERAL OPERATING,990-PF,41.890745597115,-87.678114923086,sited
Arie and Ida Crown Memorial,2022,VOCEL VIEWING OUR CHILDREN AS EMERGING LEADERS NFP,1550 W CARROLL AVENUE,CHICAGO,IL,60607,145000,PROGRAM,990-PF,41.88745896559,-87.665987437886,sited
Arie and Ida Crown Memorial,2022,JEWISH FEDERATION OF METROPOLITAN CHICAGO,30 SOUTH WELLS STREET,CHICAGO,IL,60606,140000,PROGRAM,990-PF,41.881085502878,-87.633883748516,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,MISHKAN CHICAGO,4001 N RAVENSWOOD,CHICAGO,IL,60613,130000,GENERAL OPERATING,990-PF,41.95427708483,-87.673716916858,sited
Arie and Ida Crown Memorial,2022,UNITED WAY OF METROPOLITAN CHICAGO,333 S WABASH AVENUE 30TH FLOOR,CHICAGO,IL,60604,130000,GENERAL OPERATING,990-PF,41.877809331031,-87.625998820959,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,CHILDREN FIRST FUND THE CHICAGO PUBLIC SCHOOLS FOUNDATION,42 WEST MADISON STREET,CHICAGO,IL,60602,128750,PROGRAM,990-PF,41.882055509591,-87.629329175517,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,AIDS FOUNDATION OF CHICAGO,200 W MONROE,CHICAGO,IL,60606,125000,GENERAL OPERATING,990-PF,41.880719814776,-87.633880215174,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,BIG NFP,6011 S ST LAWRENCE,CHICAGO,IL,60637,125000,PROGRAM,990-PF,41.785471221719,-87.610846159561,sited
Arie and Ida Crown Memorial,2022,FRIENDS OF THE CHICAGO RIVER,121 W WACKER DRIVE SUITE 1700,CHICAGO,IL,60601,125000,PROGRAM,990-PF,41.886816849278,-87.631352022473,sited
Arie and Ida Crown Memorial,2022,ILLINOIS ACTION FOR CHILDREN,4753 N BROADWAY,CHICAGO,IL,60640,125000,PROGRAM,990-PF,41.968222373579,-87.659195405517,sited
Arie and Ida Crown Memorial,2022,MARWEN FOUNDATION,833 NORTH ORLEANS STREET,CHICAGO,IL,60610,125000,GENERAL OPERATING,990-PF,41.898105408764,-87.637152976878,sited
Arie and Ida Crown Memorial,2022,MERCY HOUSING LAKEFRONT,120 S LASALLE ST STE 1915,CHICAGO,IL,60603,125000,GENERAL OPERATING,990-PF,41.88008989864,-87.632389221807,sited
Arie and Ida Crown Memorial,2022,MERCY HOUSING LAKEFRONT,120 S LASALLE ST STE 1915,CHICAGO,IL,60603,125000,GENERAL OPERATING,990-PF,41.88008989864,-87.632389221807,sited
