ein,funder,object_id,tax_yr,return_type,schema_version,tax_period_begin,tax_period_end,amended,grant_rows,parsed_sum,line3a,line25a,line25d,delta,status,bridge_note,chicago_rows,chicago_dollars,source_url,sha256,extraction_version
363805338,Alphawood Foundation,202543529349100314,2024,990PF,2024v5.2,2024-03-01,2025-02-28,N,126,8090605.0,8090605.0,7116852.0,8090605.0,0.0,reconciled,"row sum ties printed line-3a total within $1; book-basis bridge: line 25(a)=7,116,852 differs from paid rows by 973,753 (accrual/noncash/set-aside timing)",97,5664700.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202543529349100314_public.xml,47761538b4c9b220,tier1-2026-08-03.1
363805338,Alphawood Foundation,202413559349100811,2023,990PF,2023v5.1,2023-03-01,2024-02-29,N,104,10350162.0,10350162.0,14700357.0,10350162.0,0.0,reconciled,"row sum ties printed line-3a total within $1; book-basis bridge: line 25(a)=14,700,357 differs from paid rows by -4,350,195 (accrual/noncash/set-aside timing)",78,7490000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202413559349100811_public.xml,ab1038bc036860fe,tier1-2026-08-03.1
363805338,Alphawood Foundation,202410169349100241,2022,990PF,2022v5.0,2022-03-01,2023-02-28,N,123,6228131.0,6228131.0,14394387.0,6228131.0,0.0,reconciled,"row sum ties printed line-3a total within $1; book-basis bridge: line 25(a)=14,394,387 differs from paid rows by -8,166,256 (accrual/noncash/set-aside timing)",90,4426278.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202410169349100241_public.xml,49aeb2ad33512a5f,tier1-2026-08-03.1
465053786,Dauten Family Foundation,202501329349102425,2024,990PF,2024v5.1,2024-01-01,2024-12-31,N,8,22380372.0,22380372.0,22380372.0,22380372.0,0.0,reconciled,row sum ties printed line-3a total within $1,2,745000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202501329349102425_public.xml,6b535118e03a3461,tier1-2026-08-03.1
465053786,Dauten Family Foundation,202411359349103281,2023,990PF,2023v5.0,2023-01-01,2023-12-31,N,10,14486976.0,14486976.0,14486976.0,14486976.0,0.0,reconciled,row sum ties printed line-3a total within $1,3,729571.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202411359349103281_public.xml,6ae7e33a94f5a15e,tier1-2026-08-03.1
465053786,Dauten Family Foundation,202321359349103202,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,11,31387379.0,31387379.0,31387379.0,31387379.0,0.0,reconciled,row sum ties printed line-3a total within $1,4,796276.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202321359349103202_public.xml,d9a7b2ca4fec611b,tier1-2026-08-03.1
942988627,The Bobolink Foundation,202533219349103148,2024,990PF,2024v5.2,2024-01-01,2024-12-31,N,44,19790736.0,19790736.0,19790736.0,19790736.0,0.0,reconciled,row sum ties printed line-3a total within $1,5,745000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202533219349103148_public.xml,0e8cd3de2de9e22e,tier1-2026-08-03.1
942988627,The Bobolink Foundation,202423169349101642,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,49,14270051.0,14270051.0,14270051.0,12320286.0,0.0,reconciled,row sum ties printed line-3a total within $1,5,1375000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202423169349101642_public.xml,b9461d6e5e94b9dc,tier1-2026-08-03.1
942988627,The Bobolink Foundation,202343199349104929,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,51,15350000.0,15350000.0,15350000.0,15350000.0,0.0,reconciled,row sum ties printed line-3a total within $1,7,1790000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202343199349104929_public.xml,cc324158b79e716d,tier1-2026-08-03.1
821202926,Peoples Support Foundation Limited,202503149349103280,2024,990PF,2024v5.2,2024-01-01,2024-12-31,N,30,21266629.0,21266629.0,21266629.0,21266629.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202503149349103280_public.xml,3d16f45a72017def,tier1-2026-08-03.1
821202926,Peoples Support Foundation Limited,202423199349102697,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,60,14128430.0,14128430.0,14128430.0,14128430.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202423199349102697_public.xml,8163c0d59409a696,tier1-2026-08-03.1
821202926,Peoples Support Foundation Limited,202333159349100303,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,96,15031720.0,15031720.0,15031720.0,15031720.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202333159349100303_public.xml,e3438c861870b309,tier1-2026-08-03.1
366109323,Motorola Solutions Foundation,202521149349102002,2024,990PF,2024v5.1,2024-01-01,2024-12-31,N,239,13755296.0,13755296.0,13723670.0,13755297.0,0.0,reconciled,"row sum ties printed line-3a total within $1; book-basis bridge: line 25(a)=13,723,670 differs from paid rows by 31,626 (accrual/noncash/set-aside timing)",44,2077600.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202521149349102002_public.xml,cdf1d6074e4a76db,tier1-2026-08-03.1
366109323,Motorola Solutions Foundation,202441319349102304,2023,990PF,2023v5.0,2023-01-01,2023-12-31,N,236,13347438.0,13347438.0,13329442.0,13347439.0,0.0,reconciled,"row sum ties printed line-3a total within $1; book-basis bridge: line 25(a)=13,329,442 differs from paid rows by 17,996 (accrual/noncash/set-aside timing)",38,2234100.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202441319349102304_public.xml,4e1d77330fa17f12,tier1-2026-08-03.1
