program,activity_id,activity_name,address,funding_amount,national_objective,activity_group,status_text,completion_date,lat,lng
cdbg,7409,Employment Training,"4345 W Division St, Chicago, IL 60651",38572.00,,Public Services,,2007-12-31,41.902394,-87.734786
cdbg,7410,Employment Training,"435 W 119th St, Chicago, IL 60628",61100.00,,Public Services,,2007-12-31,41.677734,-87.633627
cdbg,7411,Employment Training,"790 N Milwaukee Ave, Chicago, IL 60642",70000.00,,Public Services,,2007-12-31,41.896048,-87.655448
cdbg,7412,ED Direct: Technical Assistance,"1000 E 111th St, Chicago, IL 60628",26825.00,,Economic Development,,2007-12-31,41.692912,-87.599477
cdbg,7413,Employment Training,"703 W Monroe St, Chicago, IL 60661",64000.00,,Public Services,,2007-12-31,41.880381,-87.644178
cdbg,7414,Employment Training,"3333 W Arthington St, SUITE 459, Chicago, IL 60624",90000.00,,Public Services,,2007-12-31,41.869882,-87.709003
cdbg,7415,ED Direct: Technical Assistance,"1000 E 111th St, Chicago, IL 60628",22354.32,,Economic Development,,2007-12-31,41.692912,-87.599477
cdbg,7416,Employment Training,"247 S State St, SUITE 810, Chicago, IL 60604",49287.00,,Public Services,,2007-12-31,41.878835,-87.627407
cdbg,7417,Employment Training,"3834 N Cicero Ave, Chicago, IL 60641",60449.00,,Public Services,,2007-12-31,41.950726,-87.747496
cdbg,7418,ED Direct: Technical Assistance,"8905 S Commercial Ave, Chicago, IL 60617",52774.96,,Economic Development,,2007-12-31,41.733629,-87.551127
cdbg,7419,"Housing Counseling only, under 24 CFR 5.100","1345 N Karlov Ave, Chicago, IL 60651",25000.00,,Public Services,,2007-12-31,41.905279,-87.728613
cdbg,7420,"Housing Counseling only, under 24 CFR 5.100","4510 S Michigan Ave, Chicago, IL 60653",25000.00,,Public Services,,2007-12-31,41.812917,-87.623137
cdbg,7421,"Housing Counseling only, under 24 CFR 5.100","3541 W North Ave, Chicago, IL 60647",47280.00,,Public Services,,2007-12-31,41.909819,-87.715433
cdbg,7423,"Housing Counseling only, under 24 CFR 5.100","209 W Jackson Blvd, SUITE #301, Chicago, IL 60606",21470.00,,Public Services,,2007-12-31,41.877946,-87.633862
cdbg,7424,"Housing Counseling only, under 24 CFR 5.100","4950 W Thomas St, Chicago, IL 60651",20648.69,,Public Services,,2007-12-31,41.900639,-87.750082
cdbg,7425,ED Direct: Technical Assistance,"1110 W 35th St, Chicago, IL 60609",78499.00,,Economic Development,,2007-12-31,41.830841,-87.653633
cdbg,7426,ED Direct: Technical Assistance,"1737 E 71st St, Chicago, IL 60649",32980.19,,Economic Development,,2007-12-31,41.765839,-87.582162
cdbg,7427,ED Direct: Technical Assistance,"9226 S Commercial Ave, Chicago, IL 60617",39781.11,,Economic Development,,2007-12-31,41.727405,-87.551417
cdbg,7428,ED Direct: Technical Assistance,"815 W 63rd St Ste 2, Chicago, IL 60621",4211.52,,Economic Development,,2007-12-31,41.779606,-87.645315
cdbg,7430,ED Direct: Technical Assistance,"954 W Washington Blvd, Chicago, IL 60607",65392.82,,Economic Development,,2007-12-31,41.883273,-87.651296
cdbg,7432,ED Direct: Technical Assistance,"7054 S Jeffery Blvd, Chicago, IL 60649",78498.44,,Economic Development,,2007-12-31,41.766768,-87.576553
cdbg,7433,ED Direct: Technical Assistance,"6445 N Western Ave, Chicago, IL 60645",45926.02,,Economic Development,,2007-12-31,41.998527,-87.689638
cdbg,7434,ED Direct: Technical Assistance,"1851 W Chicago Ave, Chicago, IL 60622",78624.92,,Economic Development,,2007-12-31,41.896164,-87.672717
cdbg,7435,ED Direct: Technical Assistance,"3501 W Armitage Ave, Chicago, IL 60647",29007.00,,Economic Development,,2007-12-31,41.917183,-87.713516
