hud_id,project_name,address,zip,units_total,units_low_income,annual_allocated_amount,allocation_year,placed_in_service_year,lat,lng,coord_source
ILB19979002,GRAND BOULEVARD APTS.,410-412 E. 43RD STREET,60653,22,22,,1995,1997,41.816828,-87.616537,hud_source
ILB19980005,SENIOR SUITES OF RAVENWOOD,2800 W MONTROSE AVE,60618,80,80,552423,1996,1998,41.961442,-87.698524,hud_source
ILB19980010,EVERGREEN TOWER II,1343 N CLEVELAND AVE,60610,101,82,,1997,1998,41.906952,-87.64065,hud_source
ILB19980015,FAITH RESIDENCE,5644 W WASHINGTON BLVD,60644,50,50,,1996,1998,41.882384,-87.766649,hud_source
ILB19980020,KAVANAUGH BUILDING,9001 S COMMERCIAL AVE,60617,15,15,,1996,1998,41.731918,-87.551091,hud_source
ILB19980025,KENWOOD OAKLAND APTS,811 E 46TH ST,60653,102,102,,1996,1998,41.81123,-87.605829,hud_source
ILB19980035,TABERNACLE PARTNERHIP,1852 S HAMLIN AVE,60623,42,42,,1996,1998,41.855568,-87.720173,hud_source
ILB19980802,SENIOR SUITES OF AUSTIN,335 N MENARD AVE,60644,84,84,462931,1998,1998,41.886644,-87.769726,hud_source
ILB19980804,ST EDMUND'S PLAZA,5701 S MICHIGAN AVE,60637,65,65,,1997,1998,41.791098,-87.622145,hud_source
ILB19980805,ST ANDR,50 N HOYNE AVE,60612,42,42,240893,1997,1998,41.882646,-87.67934,hud_source
ILB19980807,MADISON RENAISSANCE DEVELOPMENT,5629 W MADISON ST,60644,30,30,281243,1996,1998,41.880017,-87.765912,hud_source
ILB19989001,BRYN MAWR/BELLE SHORE APTS,1062 W BRYN MAWR AVE,60660-4602,371,359,,1997,1998,41.983824,-87.65749,hud_source
ILB19989002,ST. ANDREW'S COURT,50 N HOYNE,60612,42,42,,1997,1998,41.882646,-87.67934,hud_source
ILB19990030,HOMAN SQUARE IV RENTAL,908 S CENTRAL PARK AVE,60624,18,18,,1997,1999,41.869854,-87.715757,hud_source
ILB19990035,HOME SQUARE RENTAL IV,921 S LAWNDALE AVE,60624,18,18,,1997,1999,41.869122,-87.717581,hud_source
ILB19990040,MICHIGAN AVENUE RENNAISSANCE,5939 S MICHIGAN AVE,60637,6,6,,1997,1999,41.786521,-87.622041,hud_source
ILB19990045,RUTH SHRIMAN APTS,4036 N SHERIDAN RD,60613,82,82,,1997,1999,41.955605,-87.654762,hud_source
ILB19990055,TABERNACLE APTS,1861 S SPRINGFIELD AVE,60623,13,13,,1996,1999,41.855858,-87.722143,hud_source
ILB19990801,WESTSIDE VILLAGE PHASE IV,3607 W POLK ST,60624,108,20,,1997,1999,41.870685,-87.715719,hud_source
ILB19990802,BRYN MAWR/BELLE SHORE APTS,5550 N KENMORE AVE,60640,371,156,635243,1999,1999,41.983257,-87.656848,hud_source
ILB19990803,ENGLEWOOD HOUSING GROUP II,301 W MARQUETTE RD,60621,40,40,,2007,1999,41.772518,-87.632827,hud_source
ILB20000001,BARBARA JEAN WRIGHT COURT APTS,1354 S MORGAN ST,60608,23,23,,1999,2000,41.864324,-87.65119,hud_source
ILB20000020,DAVIS APTS,3615 S MICHIGAN AVE,60653,80,80,,1999,2000,41.829171,-87.622991,hud_source
