foundation,tax_year,recipient,address_line1,city,state,zip,amount,purpose,source_form,lat,lng,locType
Circle of Service Foundation,2023,IMPACT FOR EQUITY INC,25 E WASHINGTON STREET SUITE 1515,CHICAGO,IL,60602,25000,VIOLENCE REDUCTION,990-PF,41.883162849634,-87.626490086268,sited
Circle of Service Foundation,2023,INFANT WELFARE SOCIETY OF CHICAGO,3600 W FULLERTON AVE,CHICAGO,IL,60647,25000,COMMUNITY SERVICES,990-PF,41.924659438972,-87.717072727636,sited
Circle of Service Foundation,2023,INGENUITY INCORPORATED CHICAGO,440 N WELLS ST SUITE 505,CHICAGO,IL,60654,25000,EDUCATION,990-PF,41.890170853726,-87.634111271441,sited
Circle of Service Foundation,2023,INNER-CITY COMPUTER STARS FOUNDATION,750 N ORLEANS SUITE 500,CHICAGO,IL,60654,45000,COMMUNITY SERVICES,990-PF,41.896192434982,-87.637240456624,intermediary_or_citywide
Circle of Service Foundation,2023,INNER-CITY EDUCATION PROGRAM,PO BOX 64837,CHICAGO,IL,60664,1000,MATCH/DISCRETIONARY,990-PF,,,intermediary_or_citywide
Circle of Service Foundation,2023,INSPIRATION CORPORATION,4554 NORTH BROADWAY SUITE 207,CHICAGO,IL,60640,40000,COMMUNITY SERVICES,990-PF,41.964552431543,-87.657020755639,sited
Circle of Service Foundation,2023,INSTITUTE FOR LATINO PROGRESS,2520 S WESTERN AVE,CHICAGO,IL,60608,777,MATCH/DISCRETIONARY,990-PF,41.845945979033,-87.685554713213,sited
Circle of Service Foundation,2023,INSTITUTE FOR NONVIOLENCE CHICAGO,1856 N LECLAIRE AVE 3RD FLOOR,CHICAGO,IL,60639,100000,VIOLENCE REDUCTION,990-PF,41.914403237345,-87.752901199644,sited
Circle of Service Foundation,2023,INTERNATIONAL NEIGHBORHOOD COLLABORATIVE,7300 S COTTAGE GROVE,CHICAGO,IL,60619,25000,COMMUNITY SERVICES,990-PF,41.762174836517,-87.605565671514,sited
Circle of Service Foundation,2023,INVEST FOR KIDS INC,875 N MICHIGAN AVE SUITE 3400,CHICAGO,IL,60611,25000,MATCH/DISCRETIONARY,990-PF,41.898768343589,-87.624038249653,sited
Circle of Service Foundation,2023,JANE ADDAMS RESOURCE CORPORATION,4432 N RAVENSWOOD AVE,CHICAGO,IL,60640,40000,COMMUNITY SERVICES,990-PF,41.962132258418,-87.674614570682,sited
Circle of Service Foundation,2023,JANE ADDAMS SENIOR CAUCUS,1343 W IRVING PARK RD 13487,CHICAGO,IL,60613,20000,COMMUNITY SERVICES,990-PF,41.954306353159,-87.66374845607,sited
Circle of Service Foundation,2023,JEWISH CHILD AND FAMILY SERVICES,230 W MONROE SUITE 1100,CHICAGO,IL,60606,370000,JEWISH COMMUNITY,990-PF,41.880710512946,-87.634283735213,sited
Circle of Service Foundation,2023,JEWISH COUNCIL FOR YOUTH SERVICES,2112 W LAWRENCE AVE SUITE 219,CHICAGO,IL,60625,45000,JEWISH COMMUNITY,990-PF,41.968768563427,-87.682249528131,sited
Circle of Service Foundation,2023,JEWISH COUNCIL FOR YOUTH SERVICES,2112 W LAWRENCE AVE SUITE 219,CHICAGO,IL,60625,10000,MATCH/DISCRETIONARY,990-PF,41.968768563427,-87.682249528131,sited
Circle of Service Foundation,2023,JEWISH COUNCIL ON URBAN AFFAIRS,4411 N RAVENSWOOD SUITE 300,CHICAGO,IL,60640,50000,JEWISH COMMUNITY,990-PF,41.961761310611,-87.673904467517,sited
Circle of Service Foundation,2023,JEWISH FEDERATION OF METROPOLITAN CHICAGO,30 S WELLS ST,CHICAGO,IL,60606,25000,COMMUNITY SERVICES,990-PF,41.881085502878,-87.633883748516,intermediary_or_citywide
Circle of Service Foundation,2023,JEWISH FEDERATION OF METROPOLITAN CHICAGO,30 S WELLS ST,CHICAGO,IL,60606,2473167,JEWISH COMMUNITY,990-PF,41.881085502878,-87.633883748516,intermediary_or_citywide
Circle of Service Foundation,2023,JEWISH FEDERATION OF METROPOLITAN CHICAGO,30 S WELLS ST,CHICAGO,IL,60606,13600,MATCH/DISCRETIONARY,990-PF,41.881085502878,-87.633883748516,intermediary_or_citywide
Circle of Service Foundation,2023,JEWISH UNITED FUND OF METROPOLITAN CHICAGO,30 S WELLS ST,CHICAGO,IL,60606,500000,JEWISH COMMUNITY,990-PF,41.881085502878,-87.633883748516,intermediary_or_citywide
Circle of Service Foundation,2023,JEWISH UNITED FUND OF METROPOLITAN CHICAGO,30 S WELLS ST,CHICAGO,IL,60606,9600,MATCH/DISCRETIONARY,990-PF,41.881085502878,-87.633883748516,intermediary_or_citywide
Circle of Service Foundation,2023,JOFFREY BALLET THE,10 E RANDOLPH ST,CHICAGO,IL,60601,15000,COMMUNITY SERVICES,990-PF,41.884546846461,-87.62753189865,sited
Circle of Service Foundation,2023,JOSEPHINUM ACADEMY,1501 N OAKLEY BLVD ATTN DEVELOPMENT OFFICE,CHICAGO,IL,60622,1000,MATCH/DISCRETIONARY,990-PF,41.908585439915,-87.684658242585,sited
Circle of Service Foundation,2023,JUNIOR ACHIEVEMENT OF CHICAGO,651 W WASHINGTON BLVD SUITE 404,CHICAGO,IL,60661,25000,EDUCATION,990-PF,41.883104198314,-87.644697339863,sited
Circle of Service Foundation,2023,JUNIOR ACHIEVEMENT OF CHICAGO,651 W WASHINGTON BLVD SUITE 404,CHICAGO,IL,60661,25000,MATCH/DISCRETIONARY,990-PF,41.883104198314,-87.644697339863,sited
Circle of Service Foundation,2023,JUVENILE PROTECTIVE ASSOCIATION,1707 N HALSTED ST,CHICAGO,IL,60614,35000,COMMUNITY SERVICES,990-PF,41.912694786583,-87.648250143667,sited
Circle of Service Foundation,2023,KIDS FIRST CHICAGO FOR EDUCATION,190 S LASALLE ST 39TH FLOOR,CHICAGO,IL,60603,50000,EDUCATION,990-PF,41.879514148711,-87.63237315861,sited
Circle of Service Foundation,2023,LATIN WOMEN IN ACTION,2124 W 21ST PLACE,CHICAGO,IL,60608,20000,COMMUNITY SERVICES,990-PF,41.853107393497,-87.678958481099,sited
